Site: Coral_d18O 	: Aus_03	: slope    : -0.312105313974	: intercept: -4.9403839942	: correl.  : -0.612022313836	: p_value  : 7.53381208591e-13	: var(proxy)/var(resid): 1.59890331256  : SNR  : 0.773888
Site: Coral_d18O 	: Aus_12	: slope    : -0.0836192430378	: intercept: -4.67883051627	: correl.  : -0.242998282406	: p_value  : 0.00699837713343	: var(proxy)/var(resid): 1.06275365334  : SNR  : 0.250507
Site: Coral_d18O 	: Aus_14	: slope    : -0.255272280269	: intercept: -4.24436819722	: correl.  : -0.446374811076	: p_value  : 8.09973417847e-07	: var(proxy)/var(resid): 1.24882995867  : SNR  : 0.498829
Site: Coral_d18O 	: Aus_16	: slope    : -0.175604510105	: intercept: -4.37414057407	: correl.  : -0.329246703269	: p_value  : 0.00028927804146	: var(proxy)/var(resid): 1.12158344995  : SNR  : 0.348688
Site: Coral_d18O 	: Aus_21	: slope    : -0.0921308733807	: intercept: -3.89362558832	: correl.  : -0.397119172331	: p_value  : 1.21636368171e-05	: var(proxy)/var(resid): 1.18723058055  : SNR  : 0.432701
Site: Coral_d18O 	: Aus_22	: slope    : 0.0305708159099	: intercept: 0.0668120283428	: correl.  : 0.070102013297	: p_value  : 0.442917685117	: var(proxy)/var(resid): 1.0049385618   : SNR  : 0.0702749
Site: Coral_d18O 	: Aus_23	: slope    : -0.337434113957	: intercept: -5.19704103411	: correl.  : -0.329212420252	: p_value  : 0.00044509952337	: var(proxy)/var(resid): 1.12155505376  : SNR  : 0.348647
Site: Coral_d18O 	: Aus_24	: slope    : -0.147873875025	: intercept: -4.27216536091	: correl.  : -0.306301513509	: p_value  : 0.000633492501714	: var(proxy)/var(resid): 1.1035342659   : SNR  : 0.321767
Site: Coral_d18O 	: Aus_27	: slope    : -0.125280989446	: intercept: -4.87788144204	: correl.  : -0.200515979189	: p_value  : 0.0365643442302	: var(proxy)/var(resid): 1.04189095313  : SNR  : 0.204673
Site: Coral_d18O 	: Aus_28	: slope    : -0.111835832259	: intercept: -4.44952835436	: correl.  : -0.334288277221	: p_value  : 0.000260911483772	: var(proxy)/var(resid): 1.12580746719  : SNR  : 0.354693
Site: Ice core_d18O 	: Arc_17	: slope    : 0.138171946189	: intercept: -16.0017737145	: correl.  : 0.179202632284	: p_value  : 0.0521777075657	: var(proxy)/var(resid): 1.03317908266  : SNR  : 0.182151
Site: Ice core_d18O 	: Arc_27	: slope    : 0.226730032844	: intercept: -36.8723507636	: correl.  : 0.241452656823	: p_value  : 0.00998417266984	: var(proxy)/var(resid): 1.06190861999  : SNR  : 0.248814
Site: Ice core_d18O 	: Arc_28	: slope    : -0.108311300766	: intercept: -35.693124518	: correl.  : -0.119276871421	: p_value  : 0.208272296561	: var(proxy)/var(resid): 1.01443229998  : SNR  : 0.120135
Site: Ice core_d18O 	: Arc_29	: slope    : 0.010783893322	: intercept: -33.9883346061	: correl.  : 0.0119103716595	: p_value  : 0.899913236849	: var(proxy)/var(resid): 1.00014187708  : SNR  : 0.0119112
Site: Ice core_d18O 	: Arc_32	: slope    : 0.165988667301	: intercept: -35.0447707315	: correl.  : 0.163877516569	: p_value  : 0.0787807729887	: var(proxy)/var(resid): 1.02759698054  : SNR  : 0.166123
Site: Ice core_d18O 	: Arc_33	: slope    : 0.0563994121041	: intercept: -27.9802466547	: correl.  : 0.104987036513	: p_value  : 0.316567649666	: var(proxy)/var(resid): 1.01114512247  : SNR  : 0.10557
Site: Ice core_d18O 	: Arc_34	: slope    : 0.670257727729	: intercept: -36.4390505415	: correl.  : 0.4450127886	: p_value  : 6.99116989872e-06	: var(proxy)/var(resid): 1.24693935931  : SNR  : 0.49693
Site: Ice core_d18O 	: Arc_35	: slope    : 0.343467106899	: intercept: -28.613102943	: correl.  : 0.299558795401	: p_value  : 0.00259351126674	: var(proxy)/var(resid): 1.09858175193  : SNR  : 0.313977
Site: Ice core_d18O 	: Arc_36	: slope    : 0.188590372963	: intercept: -38.0556385279	: correl.  : 0.132434919755	: p_value  : 0.189016986998	: var(proxy)/var(resid): 1.01785211638  : SNR  : 0.133612
Site: Ice core_d18O 	: SAm_02	: slope    : -0.240662636349	: intercept: -0.0680722754104	: correl.  : -0.132392971137	: p_value  : 0.156565317685	: var(proxy)/var(resid): 1.01784060716  : SNR  : 0.133569
Site: Ice core_d2H      : Ant_09	: slope    : -1.56978168657	: intercept: -266.281567486	: correl.  : -0.121425235101	: p_value  : 0.184598633096	: var(proxy)/var(resid): 1.014964729    : SNR  : 0.12233
Site: Ice core_d2H      : Ant_10	: slope    : 1.26194081892	: intercept: -149.167860879	: correl.  : 0.156236331085	: p_value  : 0.0782207937711	: var(proxy)/var(resid): 1.02502053724  : SNR  : 0.158179
Site: Tree ring_Density : Arc_10	: slope    : 73.6845517464	: intercept: 686.014613027	: correl.  : 0.310303144256	: p_value  : 0.000918234086571	: var(proxy)/var(resid): 1.1065472692   : SNR  : 0.326416
Site: Tree ring_Density : Arc_12	: slope    : 0.40201643813	: intercept: 7.73451239517	: correl.  : 0.438257679709	: p_value  : 4.96916516644e-07	: var(proxy)/var(resid): 1.23773067569  : SNR  : 0.487576
Site: Tree ring_Density : Arc_13	: slope    : 0.357046643532	: intercept: 9.41371672558	: correl.  : 0.487614874529	: p_value  : 1.40771915228e-08	: var(proxy)/var(resid): 1.31193698086  : SNR  : 0.558513
Site: Tree ring_Density : Asi_014	: slope    : 0.000396470296192	: intercept: 0.9951268687	: correl.  : 0.00868679578969	: p_value  : 0.926587143745	: var(proxy)/var(resid): 1.00007546612  : SNR  : 0.00868712
Site: Tree ring_Density : Asi_015	: slope    : -0.0035326905848	: intercept: 1.01293210443	: correl.  : -0.0289559580466	: p_value  : 0.758698539617	: var(proxy)/var(resid): 1.00083915109  : SNR  : 0.0289681
Site: Tree ring_Density : Asi_016	: slope    : 0.000571509768528	: intercept: 0.997904850531	: correl.  : 0.0101908704254	: p_value  : 0.913921249598	: var(proxy)/var(resid): 1.00010386463  : SNR  : 0.0101914
Site: Tree ring_Density : Asi_017	: slope    : -0.0050385708199	: intercept: 1.01534748134	: correl.  : -0.0420329682933	: p_value  : 0.655578169292	: var(proxy)/var(resid): 1.00176989743  : SNR  : 0.0420701
Site: Tree ring_Density : Asi_021	: slope    : 0.00828520398311	: intercept: 0.998492740035	: correl.  : 0.16643154145	: p_value  : 0.0754527652553	: var(proxy)/var(resid): 1.02848857611  : SNR  : 0.168786
Site: Tree ring_Density : Asi_022	: slope    : 0.0410264921098	: intercept: 1.02994940811	: correl.  : 0.317405474393	: p_value  : 0.000547365052501	: var(proxy)/var(resid): 1.11203315362  : SNR  : 0.334714
Site: Tree ring_Density : Asi_023	: slope    : 0.00676861980374	: intercept: 0.99762730735	: correl.  : 0.153746704599	: p_value  : 0.1008996621	: var(proxy)/var(resid): 1.02421033425  : SNR  : 0.155597
Site: Tree ring_Density : Asi_024	: slope    : 0.0379650093696	: intercept: 1.0303545034	: correl.  : 0.307010500854	: p_value  : 0.000845866444153	: var(proxy)/var(resid): 1.10406405138  : SNR  : 0.32259
Site: Tree ring_Density : Asi_109	: slope    : 0.0177635442839	: intercept: 1.01459624622	: correl.  : 0.176116997407	: p_value  : 0.0564307470896	: var(proxy)/var(resid): 1.03201005908  : SNR  : 0.178914
Site: Tree ring_Density : Eur_01	: slope    : 0.686881316016	: intercept: -0.120471131655	: correl.  : 0.492828973277	: p_value  : 5.2697392443e-09	: var(proxy)/var(resid): 1.32079528242  : SNR  : 0.566388
Site: Tree ring_Density : Eur_02	: slope    : 0.387910243621	: intercept: 9.42706099744	: correl.  : 0.52830828405	: p_value  : 1.46352468142e-10	: var(proxy)/var(resid): 1.3871735005   : SNR  : 0.622233
Site: Tree ring_Density : Eur_03	: slope    : 0.420910647162	: intercept: -0.125752954968	: correl.  : 0.442861521819	: p_value  : 1.85156428418e-07	: var(proxy)/var(resid): 1.24397655281  : SNR  : 0.49394
Site: Tree ring_Density : Eur_07	: slope    : 0.662102165579	: intercept: 0.0681316789554	: correl.  : 0.448814954338	: p_value  : 1.52506128987e-07	: var(proxy)/var(resid): 1.25224600219  : SNR  : 0.502241
Site: Tree ring_Density : NAm-TR_039	: slope    : 0.189936562832	: intercept: -0.120300190104	: correl.  : 0.120515381952	: p_value  : 0.214091645216	: var(proxy)/var(resid): 1.01473801154  : SNR  : 0.1214
Site: Tree ring_Density : NAm-TR_065	: slope    : 47.599511884	: intercept: 1020.89157147	: correl.  : 0.38592328764	: p_value  : 6.72648774269e-05	: var(proxy)/var(resid): 1.17500084733  : SNR  : 0.418331
Site: Tree ring_Density : NAm-TR_141	: slope    : 30.0007365461	: intercept: 1004.46197908	: correl.  : 0.366968381949	: p_value  : 0.000160227262205	: var(proxy)/var(resid): 1.1556228707   : SNR  : 0.394491
Site: Tree ring_Width   : Arc_02	: slope    : 88.9059142389	: intercept: 1225.98372341	: correl.  : 0.220934802132	: p_value  : 0.0148823617676	: var(proxy)/var(resid): 1.05131708598  : SNR  : 0.226533
Site: Tree ring_Width   : Arc_03	: slope    : 162.896720083	: intercept: 1239.125692	: correl.  : 0.312608153903	: p_value  : 0.000600275928159	: var(proxy)/var(resid): 1.10830814794  : SNR  : 0.329102
Site: Tree ring_Width   : Arc_06	: slope    : 0.00379901433593	: intercept: 1.16396825404	: correl.  : 0.0303682799638	: p_value  : 0.740901388458	: var(proxy)/var(resid): 1.00092308373  : SNR  : 0.0303823
Site: Tree ring_Width   : Arc_07	: slope    : 0.230503710226	: intercept: 5.74158957461	: correl.  : 0.38503897657	: p_value  : 1.29578535816e-05	: var(proxy)/var(resid): 1.17406033006  : SNR  : 0.417205
Site: Tree ring_Width   : Arc_08	: slope    : 0.0280124069848	: intercept: 1.33507466364	: correl.  : 0.179531529227	: p_value  : 0.0487939139138	: var(proxy)/var(resid): 1.03330504384  : SNR  : 0.182497
Site: Tree ring_Width   : Arc_09	: slope    : 0.00312844176814	: intercept: 1.04749614648	: correl.  : 0.0293009104394	: p_value  : 0.74970152823	: var(proxy)/var(resid): 1.00085928108  : SNR  : 0.0293135
Site: Tree ring_Width   : Arc_15	: slope    : 0.513969179523	: intercept: 13.2327553286	: correl.  : 0.37786268772	: p_value  : 1.92977705056e-05	: var(proxy)/var(resid): 1.16656196295  : SNR  : 0.40812
Site: Tree ring_Width   : Arc_19	: slope    : 154.306720776	: intercept: 1008.08648411	: correl.  : 0.186966395763	: p_value  : 0.0454174444279	: var(proxy)/var(resid): 1.03622264771  : SNR  : 0.190322
Site: Tree ring_Width   : Asi_001	: slope    : -0.0141713052672	: intercept: 1.11909862744	: correl.  : -0.0499846224305	: p_value  : 0.589300467506	: var(proxy)/var(resid): 1.00250472043  : SNR  : 0.0500472
Site: Tree ring_Width 	: Asi_002	: slope    : 0.00637122405228	: intercept: 1.05955947799	: correl.  : 0.0246633972681	: p_value  : 0.788297428734	: var(proxy)/var(resid): 1.0006086534   : SNR  : 0.0246709
Site: Tree ring_Width 	: Asi_003	: slope    : 0.0133533700552	: intercept: 0.989523104849	: correl.  : 0.0305372423012	: p_value  : 0.74487060722	: var(proxy)/var(resid): 1.00093339358  : SNR  : 0.0305515
Site: Tree ring_Width 	: Asi_004	: slope    : 0.0450645546205	: intercept: 1.07421215305	: correl.  : 0.128402216782	: p_value  : 0.160443746908	: var(proxy)/var(resid): 1.01676351146  : SNR  : 0.129474
Site: Tree ring_Width 	: Asi_005	: slope    : 0.0313680590293	: intercept: 0.972587211914	: correl.  : 0.0794865743095	: p_value  : 0.386134438508	: var(proxy)/var(resid): 1.00635828789  : SNR  : 0.0797389
Site: Tree ring_Width 	: Asi_006	: slope    : 0.0628565788293	: intercept: 1.03908025997	: correl.  : 0.198135812491	: p_value  : 0.0293675814763	: var(proxy)/var(resid): 1.04086195048  : SNR  : 0.202143
Site: Tree ring_Width 	: Asi_007	: slope    : 0.033279733893	: intercept: 1.14837479839	: correl.  : 0.11248628631	: p_value  : 0.221248758009	: var(proxy)/var(resid): 1.01281531895  : SNR  : 0.113205
Site: Tree ring_Width 	: Asi_008	: slope    : 0.0943808786411	: intercept: 0.999510299103	: correl.  : 0.213442903495	: p_value  : 0.0187402852502	: var(proxy)/var(resid): 1.04773246252  : SNR  : 0.218478
Site: Tree ring_Width 	: Asi_009	: slope    : 0.00674101854604	: intercept: 1.11311409172	: correl.  : 0.0185754531975	: p_value  : 0.843112195087	: var(proxy)/var(resid): 1.00034516656  : SNR  : 0.0185787
Site: Tree ring_Width 	: Asi_010	: slope    : -0.0025874389655	: intercept: 1.01358800084	: correl.  : -0.00574086863331	: p_value  : 0.950168984409	: var(proxy)/var(resid): 1.00003295866  : SNR  : 0.00574096
Site: Tree ring_Width 	: Asi_011	: slope    : -0.0242697363716	: intercept: 1.05233753878	: correl.  : -0.0622485935819	: p_value  : 0.508682398453	: var(proxy)/var(resid): 1.00388996056  : SNR  : 0.0623695
Site: Tree ring_Width 	: Asi_018	: slope    : 0.161725964074	: intercept: 1.08994858395	: correl.  : 0.415272414018	: p_value  : 3.93447233379e-06	: var(proxy)/var(resid): 1.20838792012  : SNR  : 0.456495
Site: Tree ring_Width 	: Asi_025	: slope    : 0.0746126991855	: intercept: 0.978343600489	: correl.  : 0.119979872035	: p_value  : 0.184406685517	: var(proxy)/var(resid): 1.01460541715  : SNR  : 0.120853
Site: Tree ring_Width 	: Asi_026	: slope    : 0.163614012607	: intercept: 0.959347149777	: correl.  : 0.329602171249	: p_value  : 0.000185387916811	: var(proxy)/var(resid): 1.12187813871  : SNR  : 0.34911
Site: Tree ring_Width 	: Asi_027	: slope    : 0.243700731018	: intercept: 0.961541668769	: correl.  : 0.297443673689	: p_value  : 0.000793892845414	: var(proxy)/var(resid): 1.09705989366  : SNR  : 0.311544
Site: Tree ring_Width 	: Asi_028	: slope    : -0.00915790198008	: intercept: 0.974110676297	: correl.  : -0.0130044501741	: p_value  : 0.886013078294	: var(proxy)/var(resid): 1.00016914433  : SNR  : 0.0130055
Site: Tree ring_Width 	: Asi_029	: slope    : -0.00708539087148	: intercept: 0.996442795141	: correl.  : -0.0168428225101	: p_value  : 0.852705588462	: var(proxy)/var(resid): 1.00028376117  : SNR  : 0.0168452
Site: Tree ring_Width 	: Asi_030	: slope    : 0.0158656094719	: intercept: 1.00639357378	: correl.  : 0.0323357597548	: p_value  : 0.719262505558	: var(proxy)/var(resid): 1.00104669579  : SNR  : 0.0323527
Site: Tree ring_Width 	: Asi_031	: slope    : 0.0467626618882	: intercept: 1.01260649438	: correl.  : 0.0922164016408	: p_value  : 0.308368735252	: var(proxy)/var(resid): 1.00857680068  : SNR  : 0.092611
Site: Tree ring_Width 	: Asi_032	: slope    : 0.036902074643	: intercept: 0.986816501508	: correl.  : 0.0816299696247	: p_value  : 0.369411870497	: var(proxy)/var(resid): 1.00670815139  : SNR  : 0.0819033
Site: Tree ring_Width 	: Asi_033	: slope    : 0.0192953471343	: intercept: 1.00466763551	: correl.  : 0.0511475919859	: p_value  : 0.569504851309	: var(proxy)/var(resid): 1.00262293797  : SNR  : 0.0512146
Site: Tree ring_Width 	: Asi_034	: slope    : -0.0915556462373	: intercept: 0.957402148687	: correl.  : -0.224617358942	: p_value  : 0.0114520617091	: var(proxy)/var(resid): 1.05313371082  : SNR  : 0.230508
Site: Tree ring_Width 	: Asi_035	: slope    : 0.120585016672	: intercept: 1.04184015098	: correl.  : 0.158550195868	: p_value  : 0.0750133092035	: var(proxy)/var(resid): 1.02578638705  : SNR  : 0.160581
Site: Tree ring_Width 	: Asi_036	: slope    : 0.152942021572	: intercept: 1.01413382962	: correl.  : 0.321499818813	: p_value  : 0.000241782089639	: var(proxy)/var(resid): 1.11527745744  : SNR  : 0.339525
Site: Tree ring_Width 	: Asi_037	: slope    : 0.0714543334379	: intercept: 1.00625736623	: correl.  : 0.0982139837185	: p_value  : 0.271973047807	: var(proxy)/var(resid): 1.00973993791  : SNR  : 0.0986911
Site: Tree ring_Width 	: Asi_038	: slope    : 0.0681157690926	: intercept: 0.991555152168	: correl.  : 0.192118018124	: p_value  : 0.0298160776416	: var(proxy)/var(resid): 1.03832384027  : SNR  : 0.195765
Site: Tree ring_Width 	: Asi_039	: slope    : 0.124609138874	: intercept: 0.987796223332	: correl.  : 0.269835644616	: p_value  : 0.00206833577941	: var(proxy)/var(resid): 1.07852907736  : SNR  : 0.28023
Site: Tree ring_Width 	: Asi_040	: slope    : 0.0771857009013	: intercept: 0.993351916559	: correl.  : 0.199315729079	: p_value  : 0.0246683765159	: var(proxy)/var(resid): 1.0413702665   : SNR  : 0.203397
Site: Tree ring_Width 	: Asi_041	: slope    : 0.161080505921	: intercept: 0.974740650374	: correl.  : 0.226103047429	: p_value  : 0.0105868139116	: var(proxy)/var(resid): 1.05387691541  : SNR  : 0.232114
Site: Tree ring_Width 	: Asi_042	: slope    : 0.0171725998344	: intercept: 0.94170438205	: correl.  : 0.0306996108418	: p_value  : 0.730846018613	: var(proxy)/var(resid): 1.00094335519  : SNR  : 0.0307141
Site: Tree ring_Width 	: Asi_043	: slope    : -0.0751519236043	: intercept: 1.05787812611	: correl.  : -0.170763473571	: p_value  : 0.0569071842883	: var(proxy)/var(resid): 1.03003601915  : SNR  : 0.173309
Site: Tree ring_Width 	: Asi_044	: slope    : -0.149110084723	: intercept: 1.024492452	: correl.  : -0.253064173869	: p_value  : 0.00440750847061	: var(proxy)/var(resid): 1.06842341243  : SNR  : 0.261579
Site: Tree ring_Width 	: Asi_045	: slope    : -0.0545225609125	: intercept: 1.010384662	: correl.  : -0.150789974092	: p_value  : 0.0932381543285	: var(proxy)/var(resid): 1.02326664432  : SNR  : 0.152534
Site: Tree ring_Width 	: Asi_046	: slope    : -0.0453157075995	: intercept: 1.0617010125	: correl.  : -0.102637751286	: p_value  : 0.254700023886	: var(proxy)/var(resid): 1.01064666537  : SNR  : 0.103183
Site: Tree ring_Width 	: Asi_047	: slope    : 0.083311573497	: intercept: 0.975544820528	: correl.  : 0.17563174466	: p_value  : 0.0550154707291	: var(proxy)/var(resid): 1.03182830175  : SNR  : 0.178405
Site: Tree ring_Width 	: Asi_048	: slope    : 0.0298026734746	: intercept: 1.0822080003	: correl.  : 0.0693071544215	: p_value  : 0.463726538874	: var(proxy)/var(resid): 1.00482666646  : SNR  : 0.0694742
Site: Tree ring_Width 	: Asi_049	: slope    : -0.0340014430038	: intercept: 1.07352911264	: correl.  : -0.0566054327907	: p_value  : 0.549706548339	: var(proxy)/var(resid): 1.00321447476  : SNR  : 0.0566963
Site: Tree ring_Width 	: Asi_050	: slope    : -0.0197663615174	: intercept: 1.15083430219	: correl.  : -0.0403552978783	: p_value  : 0.669887890829	: var(proxy)/var(resid): 1.00163120657  : SNR  : 0.0403882
Site: Tree ring_Width 	: Asi_051	: slope    : 0.0261136339256	: intercept: 1.07586339448	: correl.  : 0.0710179064759	: p_value  : 0.436966820662	: var(proxy)/var(resid): 1.00506910931  : SNR  : 0.0711977
Site: Tree ring_Width 	: Asi_052	: slope    : -0.0746789546891	: intercept: 1.0303844694	: correl.  : -0.0964656601008	: p_value  : 0.28850367551	: var(proxy)/var(resid): 1.00939303159  : SNR  : 0.0969177
Site: Tree ring_Width 	: Asi_053	: slope    : -0.00640026481836	: intercept: 1.1130874131	: correl.  : -0.0102154175604	: p_value  : 0.911081641904	: var(proxy)/var(resid): 1.00010436565  : SNR  : 0.010216
Site: Tree ring_Width 	: Asi_054	: slope    : -0.0978711792989	: intercept: 1.00881811521	: correl.  : -0.173262744206	: p_value  : 0.0553043208264	: var(proxy)/var(resid): 1.03094906891  : SNR  : 0.175923
Site: Tree ring_Width 	: Asi_055	: slope    : -0.0686180987394	: intercept: 1.10884163748	: correl.  : -0.0880930874459	: p_value  : 0.33259044995	: var(proxy)/var(resid): 1.00782108676  : SNR  : 0.0884369
Site: Tree ring_Width 	: Asi_056	: slope    : -0.148311673309	: intercept: 1.05661948803	: correl.  : -0.329488333901	: p_value  : 0.000198151490484	: var(proxy)/var(resid): 1.12178371422  : SNR  : 0.348975
Site: Tree ring_Width 	: Asi_057	: slope    : -0.207933433	: intercept: 1.03685002893	: correl.  : -0.345346667801	: p_value  : 9.15210989405e-05	: var(proxy)/var(resid): 1.13541443114  : SNR  : 0.367987
Site: Tree ring_Width 	: Asi_058	: slope    : -0.0483117464322	: intercept: 0.998419641389	: correl.  : -0.0939683229993	: p_value  : 0.301226039478	: var(proxy)/var(resid): 1.00890871004  : SNR  : 0.094386
Site: Tree ring_Width 	: Asi_059	: slope    : -0.0596888814472	: intercept: 1.02024611306	: correl.  : -0.113334854025	: p_value  : 0.211981182461	: var(proxy)/var(resid): 1.01301192456  : SNR  : 0.11407
Site: Tree ring_Width 	: Asi_060	: slope    : -0.0770012114917	: intercept: 1.00771783457	: correl.  : -0.158313603246	: p_value  : 0.0803078827108	: var(proxy)/var(resid): 1.02570750934  : SNR  : 0.160336
Site: Tree ring_Width 	: Asi_061	: slope    : -0.0109439625411	: intercept: 1.00331720076	: correl.  : -0.0214954508092	: p_value  : 0.821212876111	: var(proxy)/var(resid): 1.000462268    : SNR  : 0.0215004
Site: Tree ring_Width 	: Asi_062	: slope    : -0.0433238630394	: intercept: 1.01270019498	: correl.  : -0.125974472214	: p_value  : 0.187686373675	: var(proxy)/var(resid): 1.01612547192  : SNR  : 0.126986
Site: Tree ring_Width 	: Asi_063	: slope    : -0.0190689127956	: intercept: 0.994573443122	: correl.  : -0.0482491111874	: p_value  : 0.611812376131	: var(proxy)/var(resid): 1.00233340885  : SNR  : 0.0483054
Site: Tree ring_Width 	: Asi_064	: slope    : -0.0138671615801	: intercept: 1.00614579986	: correl.  : -0.0488287974374	: p_value  : 0.591731665588	: var(proxy)/var(resid): 1.0023899497   : SNR  : 0.0488871
Site: Tree ring_Width 	: Asi_065	: slope    : 0.0230393055718	: intercept: 0.986722579043	: correl.  : 0.0551328048909	: p_value  : 0.536504176479	: var(proxy)/var(resid): 1.00304889367  : SNR  : 0.0552168
Site: Tree ring_Width 	: Asi_066	: slope    : -0.029202976088	: intercept: 1.08478281237	: correl.  : -0.0578861692009	: p_value  : 0.528257914399	: var(proxy)/var(resid): 1.00336207425  : SNR  : 0.0579834
Site: Tree ring_Width 	: Asi_067	: slope    : -0.0140671925395	: intercept: 0.990491787975	: correl.  : -0.0189324042616	: p_value  : 0.835349796782	: var(proxy)/var(resid): 1.00035856445  : SNR  : 0.0189358
Site: Tree ring_Width 	: Asi_068	: slope    : 0.0954851643697	: intercept: 1.01720847602	: correl.  : 0.132846893794	: p_value  : 0.14297532306	: var(proxy)/var(resid): 1.01796535512  : SNR  : 0.134035
Site: Tree ring_Width 	: Asi_069	: slope    : -0.165348358047	: intercept: 1.06725925364	: correl.  : -0.30058862086	: p_value  : 0.000595329843083	: var(proxy)/var(resid): 1.09932816855  : SNR  : 0.315164
Site: Tree ring_Width 	: Asi_070	: slope    : 0.0550842340075	: intercept: 0.932031458514	: correl.  : 0.101088418258	: p_value  : 0.256217514442	: var(proxy)/var(resid): 1.0103243717   : SNR  : 0.101609
Site: Tree ring_Width 	: Asi_071	: slope    : 0.0825413251234	: intercept: 1.04476295685	: correl.  : 0.108023110552	: p_value  : 0.224859200543	: var(proxy)/var(resid): 1.01180676547  : SNR  : 0.108659
Site: Tree ring_Width 	: Asi_072	: slope    : 0.0391837675824	: intercept: 0.968423662295	: correl.  : 0.0542835471629	: p_value  : 0.542807816586	: var(proxy)/var(resid): 1.00295541222  : SNR  : 0.0543637
